temps;pitch_deg;yaw_deg;roll_deg
0.0034570693969726562;-0.4375;66.4375;1.4375
0.009633064270019531;-0.4375;66.4375;1.4375
0.014575004577636719;-0.4375;66.4375;1.4375
0.022501230239868164;-0.4375;66.4375;1.4375
0.030223846435546875;-0.4375;66.4375;1.4375
0.03471112251281738;-0.4375;66.4375;1.4375
0.04050898551940918;-0.4375;66.4375;1.4375
0.04640483856201172;-0.4375;66.4375;1.4375
0.05109262466430664;-0.4375;66.4375;1.4375
0.057550907135009766;-0.4375;66.4375;1.4375
0.06353282928466797;-0.4375;66.4375;1.4375
0.07166075706481934;-0.4375;66.4375;1.4375
0.07910966873168945;-0.4375;66.4375;1.4375
0.08512568473815918;-0.4375;66.4375;1.4375
0.09053254127502441;-0.4375;66.4375;1.4375
0.09605646133422852;-0.4375;66.4375;1.4375
0.10255146026611328;-0.4375;66.4375;1.4375
0.11021757125854492;-0.4375;66.4375;1.4375
0.11616158485412598;-0.4375;66.4375;1.4375
0.12387251853942871;-0.4375;66.4375;1.4375
0.13029837608337402;-0.4375;66.4375;1.4375
0.13479828834533691;-0.4375;66.4375;1.4375
0.1399555206298828;-0.4375;66.4375;1.4375
0.14605927467346191;-0.4375;66.4375;1.4375
0.15199017524719238;-0.4375;66.4375;1.4375
0.15906429290771484;-0.4375;66.4375;1.4375
0.16353321075439453;-0.4375;66.4375;1.4375
0.1706101894378662;-0.4375;66.4375;1.4375
0.17924118041992188;-0.4375;66.4375;1.4375
0.1837470531463623;-0.4375;66.4375;1.4375
0.19160795211791992;-0.4375;66.4375;1.4375
0.19821596145629883;-0.4375;66.4375;1.4375
0.20814204216003418;-0.4375;66.4375;1.4375
0.22653794288635254;-0.4375;66.4375;1.4375
0.23721575736999512;-0.4375;66.4375;1.4375
0.24226975440979004;-0.4375;66.4375;1.4375
0.2573537826538086;-0.4375;66.4375;1.4375
0.26387763023376465;-0.4375;66.4375;1.4375
0.2788126468658447;-0.4375;66.4375;1.4375
0.2835555076599121;-0.4375;66.4375;1.4375
0.2898523807525635;-0.4375;66.4375;1.4375
0.300600528717041;-0.4375;66.4375;1.4375
0.3059384822845459;-0.4375;66.4375;1.4375
0.31711745262145996;-0.4375;66.4375;1.4375
0.3238964080810547;-0.4375;66.4375;1.4375
0.3336513042449951;-0.4375;66.4375;1.4375
0.3430922031402588;-0.4375;66.4375;1.4375
0.3525412082672119;-0.4375;66.4375;1.4375
0.360640287399292;-0.4375;66.4375;1.4375
0.3719160556793213;-0.4375;66.4375;1.4375
0.38030219078063965;-0.4375;66.4375;1.4375
0.38500094413757324;-0.4375;66.4375;1.4375
0.39421796798706055;-0.4375;66.4375;1.4375
0.4038667678833008;-0.4375;66.4375;1.4375
0.4196896553039551;-0.4375;66.4375;1.4375
0.4249246120452881;-0.4375;66.4375;1.4375
0.4316887855529785;-0.4375;66.4375;1.4375
0.4439835548400879;-0.4375;66.4375;1.4375
0.4541957378387451;-0.4375;66.4375;1.4375
0.4873795509338379;-0.4375;66.4375;1.4375
0.4965033531188965;-0.4375;66.4375;1.4375
0.5024044513702393;-0.4375;66.4375;1.4375
0.5249733924865723;-0.4375;66.4375;1.4375
0.5584402084350586;-0.4375;66.4375;1.4375
0.572052001953125;-0.4375;66.4375;1.4375
0.5788428783416748;-0.4375;66.4375;1.4375
0.606766939163208;-0.4375;66.4375;1.4375
0.6216175556182861;-0.4375;66.4375;1.4375
0.6271727085113525;-0.4375;66.4375;1.4375
0.636420488357544;-0.4375;66.4375;1.4375
0.6452877521514893;-0.4375;66.4375;1.4375
0.6517534255981445;-0.4375;66.4375;1.4375
0.6742904186248779;-0.4375;66.4375;1.4375
0.6882703304290771;-0.4375;66.4375;1.4375
0.7058761119842529;-0.4375;66.4375;1.4375
0.7241189479827881;-0.4375;66.4375;1.4375
0.7320780754089355;-0.4375;66.4375;1.4375
0.7389459609985352;-0.4375;66.4375;1.4375
0.7437119483947754;-0.4375;66.4375;1.4375
0.7516880035400391;-0.4375;66.4375;1.4375
0.756324052810669;-0.4375;66.4375;1.4375
0.7628118991851807;-0.4375;66.4375;1.4375
0.7698249816894531;-0.4375;66.4375;1.4375
0.7760488986968994;-0.4375;66.4375;1.4375
0.7825548648834229;-0.4375;66.4375;1.4375
0.7870407104492188;-0.4375;66.4375;1.4375
0.7948288917541504;-0.4375;66.4375;1.4375
0.8017928600311279;-0.4375;66.4375;1.4375
0.8063085079193115;-0.4375;66.4375;1.4375
0.8141045570373535;-0.4375;66.4375;1.4375
0.8219366073608398;-0.4375;66.4375;1.4375
0.8265094757080078;-0.4375;66.4375;1.4375
0.8330433368682861;-0.4375;66.4375;1.4375
0.8390195369720459;-0.4375;66.4375;1.4375
0.843970537185669;-0.4375;66.4375;1.4375
0.8500053882598877;-0.4375;66.4375;1.4375
0.8544654846191406;-0.4375;66.4375;1.4375
0.8625695705413818;-0.4375;66.4375;1.4375
0.8697493076324463;-0.4375;66.4375;1.4375
0.8743681907653809;-0.4375;66.4375;1.4375
